"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","firstInterv_date","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","horasLat","minLat","segLat","horasLon","minLon","segLon","diff_in_days","temp","tempMax","windVelocity","windGust"
1209,"Entre Douro e Minho","Aveiro","Santa Maria da Feira","Fornos","40.1663888888889","-8.16638888888889","agriculture",2014-06-15,04:06:00,2014-06-15,"2014-06-15",0,0,1,0,0.01,0,40,54,59,8,31,59,0,25.7,34.4,13.1,68.4
1210,"Beira Litoral","Viseu","Tondela","Lajeosa do Dão","40.1597222222222","-7.15694444444444","firepit",2014-06-15,04:18:00,2014-06-15,"2014-06-15",0,1,0,1,0.02,1,40,31,35,7,59,25,0,27.7,36.2,13.4,43.2
1211,"Entre Douro e Minho","Braga","Póvoa de Lanhoso","Sobradelo da Goma","41.1661111111111","-8.15916666666667","fire",2014-06-15,04:45:00,2014-06-15,"2014-06-15",0.487179487179487,0.512820512820513,0,1,1.17,0,41,33,58,8,10,33,0,NA,NA,NA,NA
1212,"Entre Douro e Minho","Braga","Guimarães","Mesão Frio","41.1633333333333","-8.15722222222222","firepit",2014-06-15,08:40:00,2014-06-15,"2014-06-15",0,1,0,1,0.03,1,41,26,48,8,15,26,0,NA,NA,NA,NA
1213,"Ribatejo e Oeste","Santarém","Ferreira do Zêzere","Ferreira do Zêzere","39.1586111111111","-8.16638888888889","firepit",2014-06-15,10:51:00,2014-06-15,"2014-06-15",0,1,0,1,0.05,0,39,40,31,8,13,59,0,NA,NA,NA,NA
1214,"Beira Litoral","Aveiro","Aveiro","Nossa Senhora de Fátima","40.16","-8.15361111111111","fire",2014-06-15,11:17:00,2014-06-15,"2014-06-15",1,0,0,1,10.126,1,40,34,36,8,34,13,0,25.7,34.4,13.1,68.4
1215,"Alentejo","Portalegre","Marvão","Santo António das Areias","39.1625","-7.1625","firepit",2014-06-15,11:52:00,2014-06-15,"2014-06-15",0,1,0,1,0.36,0,39,24,45,7,20,45,0,NA,NA,NA,NA
1216,"Algarve","Faro","Olhão","Quelfes","37.1538888888889","-7.1625","agriculture",2014-06-15,12:14:00,2014-06-15,"2014-06-15",0,0,1,0,0.0238,0,37,2,14,7,49,45,0,27.5,32.7,11.3,36
1217,"Alentejo","Beja","Serpa","Pias","38.1613888888889","-7.15861111111111","agriculture",2014-06-15,14:45:00,2014-06-15,"2014-06-15",0,0,1,0,6.3,0,38,6,41,7,36,31,0,31.1,39.5,11,NA
1218,"Ribatejo e Oeste","Setúbal","Alcochete","São Francisco","38.1661111111111","-8.1525","agriculture",2014-06-15,14:52:00,2014-06-15,"2014-06-15",0,0,1,0,0.012,0,38,43,58,8,58,9,0,29.8,39.4,12.2,36
1219,"Beira Interior","Castelo Branco","Idanha-a-Nova","Rosmaninhal","39.1505555555556","-7.155","firepit",2014-06-15,15:07:00,2014-06-15,"2014-06-15",1,0,0,1,0.162,1,39,45,2,7,10,18,0,NA,NA,NA,NA
1220,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Labrujó, Rendufe e Vilar do Monte","41.1525","-8.16055555555556","firepit",2014-06-15,15:19:00,2014-06-15,"2014-06-15",1,0,0,1,0.97,0,41,51,9,8,33,38,0,NA,NA,NA,NA
1221,"Entre Douro e Minho","Vila Real","Ribeira de Pena","Limões","41.1569444444444","-7.16472222222222","firepit",2014-06-15,15:35:00,2014-06-15,"2014-06-15",0,1,0,1,0.01,0,41,25,25,7,48,53,0,24.5,31.9,6.8,32.4
1222,"Beira Litoral","Aveiro","Murtosa","Torreira","40.1577777777778","-8.15","firepit",2014-06-15,16:26:00,2014-06-15,"2014-06-15",0,1,0,1,0.357,0,40,45,28,8,42,0,0,25.7,34.4,13.1,68.4
1223,"Entre Douro e Minho","Porto","Marco de Canaveses","Sobretâmega","41.1652777777778","-8.15","firepit",2014-06-15,16:39:00,2014-06-15,"2014-06-15",0,1,0,1,0.96,1,41,11,55,8,10,0,0,24.5,31.9,6.8,32.4
1224,"Beira Litoral","Coimbra","Figueira da Foz","Paião","40.1655555555556","-8.15638888888889","firepit",2014-06-15,16:49:00,2014-06-15,"2014-06-15",1,0,0,1,0.025,1,40,11,56,8,51,23,0,25.7,34.4,13.1,68.4
1225,"Algarve","Faro","Portimão","Mexilhoeira Grande","37.1544444444444","-8.16166666666667","fire",2014-06-15,17:20:00,2014-06-16,"2014-06-15",0.0989583333333333,0.901041666666667,0,1,384,0,37,13,16,8,37,42,1,27.5,32.7,11.3,36
1226,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Darque","41.1516666666667","-8.15138888888889","firepit",2014-06-15,18:10:00,2014-06-15,"2014-06-15",0,1,0,1,0.005,1,41,41,6,8,50,5,0,NA,NA,NA,NA
1227,"Alentejo","Beja","Beja","Nossa Senhora das Neves","38.1522222222222","-7.16388888888889","agriculture",2014-06-15,19:10:00,2014-06-15,"2014-06-15",0,0,1,0,0.19,0,38,1,8,7,48,50,0,31.1,39.5,11,NA
1228,"Entre Douro e Minho","Viana do Castelo","Ponte da Barca","Britelo (São Martinho)","41.1572222222222","-8.15472222222222","firepit",2014-06-15,19:14:00,2014-06-15,"2014-06-15",0,1,0,1,0.05,0,41,51,26,8,16,17,0,NA,NA,NA,NA
1229,"Alentejo","Beja","Moura","São João Baptista","38.16","-7.16472222222222","agriculture",2014-06-15,19:45:00,2014-06-15,"2014-06-15",0,0,1,0,0.1,0,38,8,36,7,27,53,0,31.1,39.5,11,NA
1230,"Beira Interior","Guarda","Almeida","Almeida","40.1622222222222","-6.155","fire",2014-06-15,20:05:00,2014-06-15,"2014-06-15",0,1,0,1,2.5,0,40,44,44,6,57,18,0,27.7,36.2,13.4,43.2
1231,"Trás-os-Montes","Vila Real","Valpaços","Vales","41.1636111111111","-7.16638888888889","firepit",2014-06-15,21:00:00,2014-06-15,"2014-06-15",0,1,0,1,0.5,1,41,27,49,7,22,59,0,24.5,31.9,6.8,32.4
1232,"Entre Douro e Minho","Braga","Póvoa de Lanhoso","Brunhais","41.1575","-8.15111111111111","fire",2014-06-15,21:06:00,2014-06-16,"2014-06-15",0.259259259259259,0.740740740740741,0,1,5.4,0,41,35,27,8,11,4,1,24.5,31.9,6.8,32.4
1233,"Ribatejo e Oeste","Setúbal","Montijo","Sarilhos Grandes","38.1616666666667","-8.16527777777778","agriculture",2014-06-15,22:18:00,2014-06-15,"2014-06-15",0,0.0740740740740741,0.925925925925926,0.0740740740740741,0.0432,1,38,41,42,8,57,55,0,29.8,39.4,12.2,36
1234,"Entre Douro e Minho","Braga","Guimarães","Silvares","41.1616666666667","-8.15222222222222","agriculture",2014-06-15,22:58:00,2014-06-15,"2014-06-15",0,0,1,0,0.01,0,41,26,42,8,20,8,0,24.5,31.9,6.8,32.4
1235,"Alentejo","Évora","Vendas Novas","Vendas Novas","38.1502777777778","-8.15111111111111","firepit",2014-06-15,23:12:00,2014-06-16,"2014-06-15",1,0,0,1,0.09,0,38,38,1,8,31,4,1,29.8,39.4,12.2,36
1236,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","União das freguesias de Lemenhe, Mouquim e Jesufrei","41.1544444444444","-8.15555555555556","firepit",2014-06-16,00:00:00,2014-06-16,"2014-06-16",0,1,0,1,0.015,1,41,23,16,8,32,20,0,NA,NA,NA,NA
1237,"Trás-os-Montes","Viseu","Moimenta da Beira","Caria","40.1627777777778","-7.16194444444444","firepit",2014-06-16,01:10:00,2014-06-16,"2014-06-16",0,1,0,1,1e-04,0,40,55,46,7,34,43,0,23.8,31.5,12.9,36
1238,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Carreço","41.1652777777778","-8.15305555555556","agriculture",2014-06-16,01:22:00,2014-06-16,"2014-06-16",0,0,1,0,0.03,1,41,44,55,8,51,11,0,21.8,29.4,9.2,32.4
1239,"Entre Douro e Minho","Braga","Póvoa de Lanhoso","Serzedelo","41.1655555555556","-8.16527777777778","firepit",2014-06-16,03:29:00,2014-06-16,"2014-06-16",0,1,0,1,0.6,0,41,36,56,8,11,55,0,NA,NA,NA,NA
1240,"Alentejo","Setúbal","Alcácer do Sal","Santa Suzana","38.1638888888889","-8.15722222222222","firepit",2014-06-16,06:13:00,2014-06-16,"2014-06-16",0,1,0,1,0.0215,0,38,26,50,8,23,26,0,28.1,36.5,14.4,36
1241,"Beira Interior","Guarda","Gouveia","Lagarinhos","40.1561111111111","-7.15555555555556","firepit",2014-06-16,06:29:00,2014-06-16,"2014-06-16",0,1,0,1,0.13,1,40,30,22,7,40,20,0,23.8,31.5,12.9,36
1242,"Entre Douro e Minho","Braga","Póvoa de Lanhoso","Serzedelo","41.1655555555556","-8.165","fire",2014-06-16,09:00:00,2014-06-16,"2014-06-16",1,0,0,1,1.26,0,41,35,56,8,12,54,0,NA,NA,NA,NA
1243,"Ribatejo e Oeste","Santarém","Santarém","Alcanhões","39.1577777777778","-8.16083333333333","agriculture",2014-06-16,10:22:00,2014-06-16,"2014-06-16",0,0,1,0,0.7413,0,39,17,28,8,39,39,0,NA,NA,NA,NA
1244,"Beira Interior","Santarém","Mação","Penhascoso","39.1575","-8.15527777777778","agriculture",2014-06-16,11:35:00,2014-06-16,"2014-06-16",0,0,1,0,0.8161,1,39,32,27,8,2,19,0,NA,NA,NA,NA
1245,"Entre Douro e Minho","Viana do Castelo","Valença","Gondomil","42.1525","-8.16555555555556","firepit",2014-06-16,11:39:00,2014-06-16,"2014-06-16",0,1,0,1,0.002,0,42,1,9,8,33,56,0,23.7,29.8,9.5,36
1246,"Beira Litoral","Aveiro","Aveiro","Nossa Senhora de Fátima","40.1602777777778","-8.15916666666667","firepit",2014-06-16,13:44:00,2014-06-16,"2014-06-16",1,0,0,1,0.0146,0,40,34,37,8,34,33,0,24.9,32.2,14.6,64.8
1247,"Entre Douro e Minho","Porto","Felgueiras","União das freguesias de Macieira da Lixa e Caramos","41.1511111111111","-8.15916666666667","firepit",2014-06-16,14:09:00,2014-06-16,"2014-06-16",1,0,0,1,0.2,0,41,20,4,8,12,33,0,NA,NA,NA,NA
1248,"Ribatejo e Oeste","Santarém","Entroncamento","Entroncamento","39.1647222222222","-8.16027777777778","agriculture",2014-06-16,15:00:00,2014-06-16,"2014-06-16",0,0,1,0,0.1135,1,39,28,53,8,27,37,0,NA,NA,NA,NA
1249,"Ribatejo e Oeste","Santarém","Abrantes","Carvalhal","39.1563888888889","-8.16583333333333","firepit",2014-06-16,16:03:00,2014-06-16,"2014-06-16",1,0,0,1,0.2,0,39,36,23,8,10,57,0,NA,NA,NA,NA
1250,"Ribatejo e Oeste","Santarém","Benavente","Benavente","38.155","-8.16222222222222","agriculture",2014-06-16,16:08:00,2014-06-16,"2014-06-16",0,0,1,0,0.081,0,38,58,18,8,46,44,0,28.1,36.5,14.4,36
1251,"Entre Douro e Minho","Porto","Marco de Canaveses","Sobretâmega","41.1622222222222","-8.16388888888889","firepit",2014-06-16,16:43:00,2014-06-16,"2014-06-16",0,1,0,1,0.01,1,41,11,44,8,9,50,0,NA,NA,NA,NA
1252,"Alentejo","Portalegre","Monforte","Monforte","39.1536111111111","-7.15055555555556","agriculture",2014-06-16,16:55:00,2014-06-16,"2014-06-16",0,0,1,0,2.8999,0,39,1,13,7,26,2,0,NA,NA,NA,NA
1253,"Lisboa e Vale do Tejo","Lisboa","Mafra","União das freguesias de Igreja Nova e Cheleiros","38.1608333333333","-9.15472222222222","agric_burn",2014-06-16,18:23:00,2014-06-16,"2014-06-16",0,1,0,1,0.2,0,38,53,39,9,18,17,0,24.8,31.8,14,43.2
1254,"Beira Litoral","Viseu","Tondela","União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas","40.1630555555556","-8.16416666666667","firepit",2014-06-16,19:46:00,2014-06-16,"2014-06-16",0,1,0,1,5e-04,1,40,34,47,8,3,51,0,24.9,32.2,14.6,64.8
1255,"Entre Douro e Minho","Porto","Maia","Pedrouços","41.1652777777778","-8.16222222222222","firepit",2014-06-16,20:57:00,2014-06-16,"2014-06-16",0,1,0,1,0.016,0,41,10,55,8,35,44,0,NA,NA,NA,NA
1256,"Entre Douro e Minho","Braga","Barcelos","Oliveira","41.1519444444444","-8.16555555555556","firepit",2014-06-16,21:34:00,2014-06-16,"2014-06-16",0,1,0,1,0.053,1,41,35,7,8,32,56,0,NA,NA,NA,NA
1257,"Trás-os-Montes","Vila Real","Valpaços","Rio Torto","41.1644444444444","-7.16638888888889","firepit",2014-06-16,23:15:00,2014-06-17,"2014-06-16",0.5,0.5,0,1,0.02,1,41,33,52,7,17,59,1,21.8,29.4,9.2,32.4
1258,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Cabaços e Fojo Lobal","41.1511111111111","-8.16222222222222","firepit",2014-06-17,04:22:00,2014-06-17,"2014-06-17",1,0,0,1,0.15,1,41,50,4,8,40,44,0,NA,NA,NA,NA
1259,"Beira Litoral","Aveiro","Albergaria-a-Velha","Alquerubim","40.15","-8.15083333333333","firepit",2014-06-17,06:26:00,2014-06-17,"2014-06-17",1,0,0,1,0.015,0,40,38,0,8,30,3,0,24,31.5,12.8,46.8
1260,"Trás-os-Montes","Bragança","Mirandela","Mirandela","41.1508333333333","-7.15361111111111","firepit",2014-06-17,09:58:00,2014-06-17,"2014-06-17",0,1,0,1,0.222,1,41,29,3,7,10,13,0,20.1,28.1,7.5,32.4
1261,"Ribatejo e Oeste","Santarém","Almeirim","Almeirim","39.1647222222222","-8.15805555555556","agriculture",2014-06-17,10:50:00,2014-06-17,"2014-06-17",0,0,1,0,0.119125,0,39,12,53,8,37,29,0,NA,NA,NA,NA
1262,"Trás-os-Montes","Bragança","Mirandela","Alvites","41.1522222222222","-7.15666666666667","fire",2014-06-17,12:08:00,2014-06-17,"2014-06-17",0,1,0,1,2.51,0,41,34,8,7,5,24,0,20.1,28.1,7.5,32.4
1263,"Beira Litoral","Aveiro","Oliveira do Bairro","Troviscal","40.1586111111111","-8.16444444444445","firepit",2014-06-17,12:44:00,2014-06-17,"2014-06-17",0,1,0,1,0.119,1,40,30,31,8,32,52,0,24,31.5,12.8,46.8
1264,"Beira Interior","Guarda","Pinhel","Sorval","40.1627777777778","-7.16277777777778","agriculture",2014-06-17,14:28:00,2014-06-17,"2014-06-17",0,0,1,0,0.01,0,40,47,46,7,11,46,0,22.8,30.6,12.8,32.4
1265,"Alentejo","Beja","Odemira","Zambujeira do Mar","37.1583333333333","-8.16055555555556","agriculture",2014-06-17,14:58:00,2014-06-17,"2014-06-17",0,0,1,0,0.663,1,37,31,30,8,46,38,0,21.8,24.4,11.4,32.4
1266,"Ribatejo e Oeste","Santarém","Abrantes","União das freguesias de Aldeia do Mato e Souto","39.1594444444444","-8.15555555555556","firepit",2014-06-17,15:42:00,2014-06-17,"2014-06-17",0,1,0,1,2e-04,0,39,32,34,8,16,20,0,NA,NA,NA,NA
1267,"Beira Litoral","Coimbra","Montemor-o-Velho","Liceia","40.1561111111111","-8.16361111111111","firepit",2014-06-17,15:58:00,2014-06-17,"2014-06-17",0,1,0,1,0.025,0,40,16,22,8,43,49,0,24,31.5,12.8,46.8
1268,"Algarve","Faro","Monchique","Monchique","37.1522222222222","-8.15083333333333","agriculture",2014-06-17,16:27:00,2014-06-17,"2014-06-17",0,0,1,0,0.06,0,37,17,8,8,36,3,0,21.8,24.4,11.4,32.4
1269,"Trás-os-Montes","Vila Real","Valpaços","Serapicos","41.1619444444444","-7.15472222222222","agriculture",2014-06-17,16:27:00,2014-06-17,"2014-06-17",0,0,1,0,0.01,0,41,36,43,7,26,17,0,20.1,28.1,7.5,32.4
1270,"Alentejo","Beja","Vidigueira","Selmes","38.1625","-7.16361111111111","agriculture",2014-06-17,16:50:00,2014-06-17,"2014-06-17",0,0,1,0,22.184,0,38,9,45,7,46,49,0,24.2,32.7,11.3,NA
1271,"Entre Douro e Minho","Braga","Esposende","União das freguesias de Belinho e Mar","41.1536111111111","-8.16305555555556","agric_burn",2014-06-17,17:08:00,2014-06-17,"2014-06-17",0,0,1,0,0.1,0,41,36,13,8,44,47,0,NA,NA,NA,NA
1272,"Alentejo","Évora","Montemor-o-Novo","Santiago do Escoural","38.1666666666667","-8.15888888888889","agriculture",2014-06-17,18:00:00,2014-06-17,"2014-06-17",0,0,1,0,0.95,0,38,32,60,8,11,32,0,23.9,32.8,12.6,32.4
1273,"Alentejo","Beja","Beja","Salvador","38.1505555555556","-7.15277777777778","agriculture",2014-06-17,19:15:00,2014-06-17,"2014-06-17",0,0,1,0,1.6,1,38,0,2,7,50,10,0,24.2,32.7,11.3,NA
1274,"Entre Douro e Minho","Braga","Celorico de Basto","Carvalho","41.165","-8.15666666666667","fire",2014-06-17,20:35:00,2014-06-18,"2014-06-17",0.666666666666667,0.333333333333333,0,1,1.5,1,41,21,54,8,2,24,1,NA,NA,NA,NA
1275,"Entre Douro e Minho","Braga","Póvoa de Lanhoso","Fonte Arcada","41.1511111111111","-8.15222222222222","firepit",2014-06-17,20:50:00,2014-06-17,"2014-06-17",1,0,0,1,0.14,0,41,34,4,8,15,8,0,NA,NA,NA,NA
1276,"Beira Interior","Guarda","Guarda","Pêra do Moco","40.1538888888889","-7.16444444444444","agric_burn",2014-06-17,21:56:00,2014-06-18,"2014-06-17",0,0,1,0,0.001,0,40,35,14,7,12,52,1,22.8,30.6,12.8,32.4
1277,"Entre Douro e Minho","Braga","Barcelos","Moure","41.1511111111111","-8.15638888888889","firepit",2014-06-17,23:29:00,2014-06-18,"2014-06-17",0,1,0,1,0.005,0,41,30,4,8,33,23,1,NA,NA,NA,NA
1278,"Entre Douro e Minho","Braga","Braga","Palmeira","41.1561111111111","-8.16611111111111","agriculture",2014-06-18,02:07:00,2014-06-18,"2014-06-18",0,0,1,0,0.08,0,41,35,22,8,25,58,0,NA,NA,NA,NA
1279,"Beira Interior","Castelo Branco","Penamacor","Benquerença","40.1611111111111","-7.15527777777778","agriculture",2014-06-18,04:37:00,2014-06-18,"2014-06-18",0,0,1,0,0.05,1,40,13,40,7,14,19,0,23.6,31.3,8.9,28.8
1280,"Beira Litoral","Viseu","Mangualde","União das freguesias de Tavares (Chãs, Várzea e Travanca)","40.1552777777778","-7.15194444444445","firepit",2014-06-18,11:44:00,2014-06-18,"2014-06-18",0,1,0,1,0.42,0,40,27,19,7,55,7,0,23.6,31.3,8.9,28.8
1281,"Entre Douro e Minho","Porto","Lousada","Sousela","41.1555555555556","-8.16444444444445","firepit",2014-06-18,12:15:00,2014-06-18,"2014-06-18",1,0,0,1,0.47,0,41,18,20,8,18,52,0,NA,NA,NA,NA
1282,"Trás-os-Montes","Viseu","Moimenta da Beira","Caria","40.1627777777778","-7.16194444444444","firepit",2014-06-18,12:39:00,2014-06-18,"2014-06-18",1,0,0,1,0.065,0,40,55,46,7,34,43,0,23.6,31.3,8.9,28.8
1283,"Entre Douro e Minho","Aveiro","Vale de Cambra","São Pedro de Castelões","40.1502777777778","-8.15694444444444","firepit",2014-06-18,13:23:00,2014-06-18,"2014-06-18",0,1,0,1,0.03,0,40,49,1,8,22,25,0,21.1,31.3,9.3,39.6
1284,"Beira Interior","Guarda","Trancoso","Vila Franca das Naves","40.165","-7.16305555555556","agriculture",2014-06-18,13:35:00,2014-06-18,"2014-06-18",0,0,1,0,0.1,0,40,43,54,7,15,47,0,23.6,31.3,8.9,28.8
1285,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","Morais","41.1594444444444","-6.16305555555556","firepit",2014-06-18,14:11:00,2014-06-18,"2014-06-18",0,1,0,1,0.01,0,41,29,34,6,46,47,0,21.3,29.8,5.9,43.2
1286,"Entre Douro e Minho","Braga","Guimarães","União das freguesias de Abação e Gémeos","41.1541666666667","-8.1525","firepit",2014-06-18,15:11:00,2014-06-18,"2014-06-18",1,0,0,1,0.2,0,41,33,15,8,12,9,0,NA,NA,NA,NA
1287,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","União das freguesias de Carreira e Bente","41.1558333333333","-8.15638888888889","firepit",2014-06-18,16:19:00,2014-06-18,"2014-06-18",0,1,0,1,0.02,0,41,24,21,8,31,23,0,NA,NA,NA,NA
1288,"Trás-os-Montes","Vila Real","Valpaços","Santa Maria de Emeres","41.1530555555556","-7.15333333333333","firepit",2014-06-18,16:30:00,2014-06-18,"2014-06-18",0,1,0,1,0.05,0,41,32,11,7,24,12,0,20.7,27.8,5.3,32.4
1289,"Alentejo","Beja","Beja","Santa Maria da Feira","38.1605555555556","-7.16055555555556","agriculture",2014-06-18,16:44:00,2014-06-18,"2014-06-18",0,0,1,0,0.4238,1,38,1,38,7,51,38,0,22.7,30.2,11.1,NA
1290,"Entre Douro e Minho","Viana do Castelo","Caminha","Venade","41.1605555555556","-8.155","firepit",2014-06-18,16:49:00,2014-06-18,"2014-06-18",0,1,0,1,0.03,1,41,51,38,8,48,18,0,NA,NA,NA,NA
1291,"Entre Douro e Minho","Porto","Marco de Canaveses","Sobretâmega","41.1652777777778","-8.15","agriculture",2014-06-18,17:24:00,2014-06-18,"2014-06-18",0,0,1,0,0.128,1,41,11,55,8,10,0,0,20.7,27.8,5.3,32.4
1292,"Trás-os-Montes","Viseu","Tabuaço","Sendim","41.1647222222222","-7.15388888888889","firepit",2014-06-18,18:09:00,2014-06-18,"2014-06-18",0,1,0,1,0.001,0,41,2,53,7,32,14,0,20.7,27.8,5.3,32.4
1293,"Entre Douro e Minho","Porto","Vila do Conde","União das freguesias de Touguinha e Touguinhó","41.1638888888889","-8.15944444444444","fire",2014-06-18,19:00:00,2014-06-18,"2014-06-18",0.899408284023669,0.100591715976331,0,1,1.69,0,41,16,50,8,42,34,0,NA,NA,NA,NA
1294,"Alentejo","Portalegre","Portalegre","Fortios","39.1591666666667","-7.15944444444444","firepit",2014-06-18,19:53:00,2014-06-18,"2014-06-18",0,1,0,1,0.52,0,39,20,33,7,28,34,0,NA,NA,NA,NA
1295,"Ribatejo e Oeste","Setúbal","Montijo","Afonsoeiro","38.1588888888889","-8.15277777777778","firepit",2014-06-19,00:26:00,2014-06-19,"2014-06-19",0,1,0,1,0.0297,0,38,41,32,8,57,10,0,20,27.9,13.1,43.2
1296,"Alentejo","Portalegre","Portalegre","Fortios","39.1591666666667","-7.15916666666667","firepit",2014-06-19,10:23:00,2014-06-19,"2014-06-19",0,1,0,1,0.4,0,39,20,33,7,28,33,0,NA,NA,NA,NA
1297,"Lisboa e Vale do Tejo","Lisboa","Torres Vedras","União das freguesias de Dois Portos e Runa","39.1505555555556","-9.16055555555556","agric_burn",2014-06-19,14:04:00,2014-06-19,"2014-06-19",0,1,0,1,0.2,0,39,2,2,9,17,38,0,NA,NA,12,NA
1298,"Alentejo","Portalegre","Elvas","Caia e São Pedro","38.1658333333333","-7.16222222222222","agriculture",2014-06-19,14:35:00,2014-06-19,"2014-06-19",0,0,1,0,0.2889,0,38,52,57,7,2,44,0,20.2,28,12.8,NA
1299,"Beira Interior","Guarda","Trancoso","Valdujo","40.1508333333333","-7.165","fire",2014-06-19,14:48:00,2014-06-19,"2014-06-19",0.5,0.5,0,1,2,1,40,49,3,7,16,54,0,21,28.3,9.3,32.4
1300,"Entre Douro e Minho","Braga","Póvoa de Lanhoso","Calvos","41.1566666666667","-8.16527777777778","fire",2014-06-19,15:00:00,2014-06-19,"2014-06-19",0,1,0,1,1,1,41,35,24,8,15,55,0,NA,NA,NA,NA
1301,"Alentejo","Setúbal","Santiago do Cacém","Cercal","37.1530555555556","-8.16","agriculture",2014-06-19,15:05:00,2014-06-19,"2014-06-19",0,0,1,0,4.069,0,37,47,11,8,38,36,0,20.2,23.5,14.7,39.6
1302,"Alentejo","Évora","Portel","Portel","38.1658333333333","-7.16361111111111","firepit",2014-06-19,15:17:00,2014-06-19,"2014-06-19",1,0,0,1,0.61,0,38,19,57,7,44,49,0,20.2,28,12.8,NA
1303,"Alentejo","Beja","Beja","Santa Maria da Feira","38.1636111111111","-7.16555555555556","agriculture",2014-06-19,16:00:00,2014-06-19,"2014-06-19",0,0,1,0,0.4,1,38,1,49,7,51,56,0,20.2,28,12.8,NA
1304,"Beira Interior","Guarda","Pinhel","Pinhel","40.1636111111111","-7.15777777777778","firepit",2014-06-19,16:17:00,2014-06-19,"2014-06-19",0,1,0,1,0.005,0,40,46,49,7,5,28,0,21,28.3,9.3,32.4
1305,"Entre Douro e Minho","Porto","Amarante","União das freguesias de Freixo de Cima e de Baixo","41.1538888888889","-8.15722222222222","firepit",2014-06-19,16:30:00,2014-06-19,"2014-06-19",1,0,0,1,0.025,1,41,18,14,8,7,26,0,NA,NA,NA,NA
1306,"Ribatejo e Oeste","Santarém","Constância","Santa Margarida da Coutada","39.1552777777778","-8.15555555555556","fire",2014-06-19,17:08:00,2014-06-19,"2014-06-19",0.0367573399090699,0.96324266009093,0,1,10.3816,0,39,22,19,8,16,20,0,NA,NA,NA,NA
1307,"Ribatejo e Oeste","Santarém","Ferreira do Zêzere","Ferreira do Zêzere","39.1575","-8.15222222222222","firepit",2014-06-19,18:13:00,2014-06-19,"2014-06-19",0,1,0,1,0.0031,0,39,40,27,8,14,8,0,NA,NA,NA,NA
1308,"Trás-os-Montes","Bragança","Carrazeda de Ansiães","Carrazeda de Ansiães","41.1619444444444","-7.16638888888889","firepit",2014-06-19,20:15:00,2014-06-19,"2014-06-19",0,1,0,1,0.001,0,41,14,43,7,17,59,0,20,29.9,6.9,28.8
1309,"Entre Douro e Minho","Braga","Barcelos","Palme","41.1505555555556","-8.16027777777778","agric_burn",2014-06-19,22:56:00,2014-06-19,"2014-06-19",1,0,0,1,0.01,0,41,35,2,8,42,37,0,NA,NA,NA,NA
1310,"Alentejo","Beja","Beja","Santa Maria da Feira","38.1608333333333","-7.16305555555556","agriculture",2014-06-20,00:45:00,2014-06-20,"2014-06-20",0,0,1,0,1.6,1,38,1,39,7,51,47,0,19.8,27.3,12.6,NA
1311,"Ribatejo e Oeste","Leiria","Peniche","Ferrel","39.1522222222222","-9.16222222222222","agriculture",2014-06-20,03:13:00,2014-06-20,"2014-06-20",0,0,1,0,0.002,0,39,22,8,9,18,44,0,NA,NA,12,NA
1312,"Ribatejo e Oeste","Leiria","Alcobaça","Benedita","39.1511111111111","-8.15361111111111","agriculture",2014-06-20,10:50:00,2014-06-20,"2014-06-20",0,0,1,0,0.15,0,39,26,4,8,58,13,0,NA,28,NA,NA
1313,"Alentejo","Portalegre","Gavião","Belver","39.1605555555556","-7.15388888888889","fire",2014-06-20,11:03:00,2014-06-20,"2014-06-20",1,0,0,1,1.5014,1,39,31,38,7,55,14,0,NA,NA,NA,NA
1314,"Ribatejo e Oeste","Santarém","Sardoal","Sardoal","39.1572222222222","-8.15055555555556","agriculture",2014-06-20,11:36:00,2014-06-20,"2014-06-20",0,0,1,0,0.146,0,39,32,26,8,9,2,0,NA,28,NA,NA
1315,"Alentejo","Beja","Beja","Santa Maria da Feira","38.1608333333333","-7.16333333333333","agriculture",2014-06-20,12:05:00,2014-06-20,"2014-06-20",0,0,1,0,0.1,1,38,1,39,7,51,48,0,19.8,27.3,12.6,NA
1316,"Alentejo","Beja","Beja","Baleizão","38.1575","-7.15416666666667","agriculture",2014-06-20,13:11:00,2014-06-20,"2014-06-20",0,0,1,0,1.33,0,38,2,27,7,43,15,0,19.8,27.3,12.6,NA
1317,"Ribatejo e Oeste","Santarém","Benavente","Samora Correia","38.1563888888889","-8.1525","firepit",2014-06-20,13:13:00,2014-06-20,"2014-06-20",0,1,0,1,0.1171,0,38,54,23,8,53,9,0,20.2,27.2,11.3,32.4
1318,"Ribatejo e Oeste","Santarém","Sardoal","Sardoal","0.158888888888889","-0.152222222222222","firepit",2014-06-20,14:54:00,2014-06-20,"2014-06-20",1,0,0,1,0.1,0,0,39,32,0,8,8,0,19.3,23.3,13.5,NA
